"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
Barbados,106645,0.0,575.0,0.0,106057.0,0.0,13.0,370266.0,1996.0,794426.0,2758203.0,288023.0,North America
Angola,105277,0.0,1933.0,0.0,103317.0,0.0,27.0,3006.0,55.0,1499795.0,42818.0,35027343.0,Africa
Channel Islands,101382,0.0,227.0,0.0,101029.0,0.0,126.0,574523.0,1286.0,1252808.0,7099551.0,176463.0,Europe
French Guiana,98041,0.0,420.0,0.0,11254.0,0.0,86367.0,312065.0,1337.0,651257.0,2072951.0,314169.0,South America
DRC,95749,0.0,1464.0,0.0,84321.0,0.0,9964.0,1005.0,15.0,846704.0,8890.0,95240792.0,Africa
Senegal,88921,0.0,1971.0,0.0,86947.0,0.0,3.0,5037.0,112.0,1146543.0,64946.0,17653671.0,Africa
Malawi,88702,0.0,2686.0,0.0,85580.0,0.0,436.0,4395.0,133.0,624784.0,30959.0,20180839.0,Africa
Ivory Coast,88240,0.0,834.0,0.0,87375.0,0.0,31.0,3181.0,30.0,1680188.0,60564.0,27742298.0,Africa
Suriname,82467,0.0,1404.0,0.0,,,,138175.0,2352.0,241357.0,404398.0,596831.0,South America
New Caledonia,79881,0.0,314.0,0.0,79558.0,0.0,9.0,274585.0,1079.0,98964.0,340182.0,290915.0,Australia/Oceania
French Polynesia,77957,0.0,649.0,0.0,,,,274338.0,2284.0,0.0,0.0,284164.0,Australia/Oceania
Eswatini,74267,68.0,1425.0,2.0,72795.0,69.0,47.0,62682.0,1203.0,1048704.0,885119.0,1184817.0,Africa
Guyana,73075,0.0,1298.0,0.0,71756.0,0.0,21.0,92029.0,1635.0,722237.0,909567.0,794045.0,South America
Belize,70757,0.0,688.0,0.0,70056.0,0.0,13.0,171661.0,1669.0,576016.0,1397453.0,412190.0,North America
Fiji,68897,0.0,883.0,0.0,66860.0,0.0,1154.0,75755.0,971.0,668967.0,735560.0,909466.0,Australia/Oceania
Madagascar,67889,24.0,1423.0,1.0,66445.0,12.0,21.0,2327.0,49.0,526651.0,18050.0,29178077.0,Africa
Sudan,63809,0.0,5013.0,0.0,58460.0,0.0,336.0,1387.0,109.0,562941.0,12240.0,45992020.0,Africa
Mauritania,63668,0.0,997.0,0.0,62441.0,0.0,230.0,12988.0,203.0,1009957.0,206030.0,4901981.0,Africa
Cabo Verde,63244,0.0,413.0,0.0,62773.0,0.0,58.0,111408.0,728.0,401622.0,707482.0,567678.0,Africa
Bhutan,62620,0.0,21.0,0.0,61564.0,0.0,1035.0,79473.0,27.0,2303734.0,2923739.0,787941.0,Asia
Syria,57467,0.0,3164.0,0.0,54303.0,0.0,0.0,2968.0,163.0,146269.0,7553.0,19364809.0,Asia
Burundi,53631,0.0,38.0,0.0,53569.0,0.0,24.0,4248.0,3.0,345742.0,27386.0,12624840.0,Africa
Seychelles,50665,0.0,172.0,0.0,50440.0,0.0,53.0,509575.0,1730.0,0.0,0.0,99426.0,Africa
Gabon,48981,0.0,306.0,0.0,48674.0,0.0,1.0,21008.0,131.0,1621909.0,695641.0,2331533.0,Africa
Andorra,47875,0.0,165.0,0.0,47563.0,0.0,147.0,618037.0,2130.0,249838.0,3225256.0,77463.0,Europe
Papua New Guinea,46809,0.0,670.0,0.0,43982.0,0.0,2157.0,5037.0,72.0,249149.0,26813.0,9292169.0,Australia/Oceania
Curaçao,45986,0.0,295.0,0.0,44720.0,0.0,971.0,277812.0,1782.0,496693.0,3000640.0,165529.0,North America
Aruba,44044,0.0,236.0,0.0,42438.0,0.0,1370.0,409297.0,2193.0,177885.0,1653068.0,107609.0,North America
Tanzania,42846,0.0,846.0,0.0,,,,677.0,13.0,0.0,0.0,63298550.0,Africa
Mayotte,42004,0.0,188.0,0.0,,,,146734.0,657.0,176919.0,618038.0,286259.0,Africa
Mauritius,41752,0.0,1043.0,0.0,40030.0,0.0,679.0,32754.0,818.0,358675.0,281374.0,1274727.0,Africa
Togo,39394,4.0,290.0,0.0,39081.0,3.0,23.0,4538.0,33.0,808655.0,93154.0,8680837.0,Africa
Guinea,38267,0.0,467.0,0.0,37757.0,0.0,43.0,2760.0,34.0,660107.0,47607.0,13865691.0,Africa
Isle of Man,38008,0.0,116.0,0.0,,,,443335.0,1353.0,150753.0,1758422.0,85732.0,Europe
Bahamas,37491,0.0,833.0,0.0,36366.0,0.0,292.0,93607.0,2080.0,257839.0,643767.0,400516.0,North America
Lesotho,34790,0.0,723.0,0.0,25980.0,0.0,8087.0,15990.0,332.0,431221.0,198199.0,2175699.0,Africa
Faeroe Islands,34658,0.0,28.0,0.0,,,,703959.0,569.0,778000.0,15802409.0,49233.0,Europe
Haiti,34202,0.0,860.0,0.0,33052.0,0.0,290.0,2928.0,74.0,132422.0,11337.0,11680283.0,North America
Mali,33053,2.0,743.0,0.0,32150.0,5.0,160.0,1539.0,35.0,796609.0,37097.0,21473764.0,Africa
Cayman Islands,31472,0.0,37.0,0.0,8553.0,0.0,22882.0,467797.0,550.0,222773.0,3311280.0,67277.0,North America
Saint Lucia,30004,0.0,409.0,0.0,29095.0,0.0,500.0,162085.0,2209.0,210983.0,1139752.0,185113.0,North America
Benin,27990,0.0,163.0,0.0,27825.0,0.0,2.0,2189.0,13.0,604310.0,47268.0,12784726.0,Africa
Somalia,27324,0.0,1361.0,0.0,13182.0,0.0,12781.0,1622.0,81.0,400466.0,23778.0,16841795.0,Africa
Congo,25375,0.0,386.0,0.0,24006.0,0.0,983.0,4377.0,67.0,347815.0,59991.0,5797805.0,Africa
Solomon Islands,24575,0.0,153.0,0.0,,,,34077.0,212.0,0.0,0.0,721159.0,Australia/Oceania
Micronesia,23948,0.0,61.0,0.0,,,,203832.0,519.0,54967.0,467848.0,117489.0,Australia/Oceania
San Marino,23583,0.0,122.0,0.0,23276.0,0.0,185.0,691888.0,3579.0,157634.0,4624732.0,34085.0,Europe
Timor-Leste,23418,0.0,138.0,0.0,23102.0,0.0,178.0,17101.0,101.0,278529.0,203391.0,1369429.0,Asia
Burkina Faso,22056,0.0,396.0,0.0,21596.0,0.0,64.0,998.0,18.0,248995.0,11265.0,22102838.0,Africa
Liechtenstein,21426,0.0,89.0,0.0,21300.0,0.0,37.0,558158.0,2318.0,112457.0,2929559.0,38387.0,Europe
Gibraltar,20433,0.0,111.0,0.0,16579.0,0.0,3743.0,606249.0,3293.0,534283.0,15852213.0,33704.0,Europe
Grenada,19680,0.0,238.0,0.0,19358.0,0.0,84.0,173430.0,2097.0,182981.0,1612523.0,113475.0,North America
Bermuda,18814,0.0,160.0,0.0,18638.0,0.0,16.0,303750.0,2583.0,1027859.0,16594698.0,61939.0,North America
Nicaragua,18491,0.0,225.0,0.0,4225.0,0.0,14041.0,2728.0,33.0,0.0,0.0,6779100.0,North America
South Sudan,18368,0.0,138.0,0.0,18115.0,0.0,115.0,1581.0,12.0,410280.0,35313.0,11618511.0,Africa
Tajikistan,17786,0.0,125.0,0.0,17264.0,0.0,397.0,1786.0,13.0,0.0,0.0,9957464.0,Asia
Equatorial Guinea,17229,0.0,183.0,0.0,16907.0,0.0,139.0,11512.0,122.0,365697.0,244342.0,1496662.0,Africa
Tonga,16807,0.0,13.0,0.0,15638.0,0.0,1156.0,155983.0,121.0,535009.0,4965327.0,107749.0,Australia/Oceania
Samoa,16607,0.0,29.0,0.0,1605.0,0.0,14973.0,82116.0,143.0,187397.0,926612.0,202239.0,Australia/Oceania
Monaco,16115,0.0,67.0,0.0,15992.0,0.0,56.0,405073.0,1684.0,78646.0,1976875.0,39783.0,Europe
Dominica,15760,0.0,74.0,0.0,15673.0,0.0,13.0,217848.0,1023.0,229344.0,3170187.0,72344.0,North America
Djibouti,15690,0.0,189.0,0.0,15427.0,0.0,74.0,15441.0,186.0,305941.0,301094.0,1016097.0,Africa
Marshall Islands,15618,0.0,17.0,0.0,15528.0,0.0,73.0,260053.0,283.0,0.0,0.0,60057.0,Australia/Oceania
CAR,15368,0.0,113.0,0.0,15200.0,0.0,55.0,3063.0,23.0,81294.0,16205.0,5016678.0,Africa
Gambia,12586,0.0,372.0,0.0,12189.0,0.0,25.0,4919.0,145.0,155686.0,60851.0,2558482.0,Africa
Saint Martin,12257,0.0,63.0,0.0,1399.0,0.0,10795.0,308507.0,1586.0,112382.0,2828643.0,39730.0,North America
Vanuatu,12014,0.0,14.0,0.0,11976.0,0.0,24.0,37330.0,44.0,24976.0,77606.0,321832.0,Australia/Oceania
Greenland,11971,0.0,21.0,0.0,2761.0,0.0,9189.0,210117.0,369.0,164926.0,2894810.0,56973.0,North America
Yemen,11945,0.0,2159.0,0.0,9124.0,0.0,662.0,383.0,69.0,329592.0,10579.0,31154867.0,Asia
Caribbean Netherlands,11676,0.0,38.0,0.0,10476.0,0.0,1162.0,438173.0,1426.0,30126.0,1130559.0,26647.0,North America
Sint Maarten,11020,0.0,91.0,0.0,10905.0,0.0,24.0,250648.0,2070.0,62056.0,1411454.0,43966.0,North America
Eritrea,10189,0.0,103.0,0.0,10086.0,0.0,0.0,2782.0,28.0,23693.0,6470.0,3662244.0,Africa
Niger,9931,0.0,312.0,0.0,8890.0,0.0,729.0,381.0,12.0,254538.0,9759.0,26083660.0,Africa
St. Vincent Grenadines,9589,0.0,123.0,0.0,9466.0,0.0,0.0,85961.0,1103.0,113703.0,1019292.0,111551.0,North America
Antigua and Barbuda,9106,0.0,146.0,0.0,8954.0,0.0,6.0,91509.0,1467.0,18901.0,189943.0,99509.0,North America
Comoros,9001,0.0,161.0,0.0,8838.0,0.0,2.0,9919.0,177.0,0.0,0.0,907419.0,Africa
Guinea-Bissau,8960,0.0,176.0,0.0,8660.0,0.0,124.0,4342.0,85.0,145231.0,70385.0,2063367.0,Africa
Liberia,8090,0.0,295.0,0.0,7783.0,0.0,12.0,1525.0,56.0,139824.0,26356.0,5305117.0,Africa
Sierra Leone,7760,0.0,126.0,0.0,,,,934.0,15.0,259958.0,31296.0,8306436.0,Africa
Chad,7678,0.0,194.0,0.0,4874.0,0.0,2610.0,441.0,11.0,191341.0,10988.0,17413580.0,Africa
British Virgin Islands,7305,0.0,64.0,0.0,,,,238757.0,2092.0,107339.0,3508269.0,30596.0,North America
Cook Islands,7030,0.0,2.0,0.0,7027.0,0.0,1.0,400091.0,114.0,19690.0,1120596.0,17571.0,Australia/Oceania
